book_id,author,book_name
2368,David McCullough,Mornings on Horseback
2369,David McCullough,The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge
2371,David McCullough,The Johnstown Flood
2372,David McCullough,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914"
2373,Jeffery Deaver,The Bone Collector
2389,Herman Melville,Moby Dick
2423,Steve Martini,Double Tap
2425,Steve Martini,Compelling Evidence
2426,Steve Martini,Critical Mass
2427,Steve Martini,Undue Influence
2430,Steve Martini,The List
2442,Terry Pratchett,Witches Abroad
2443,Mark Twain,"The Innocents Abroad, Or, the New Pilgrims' Progress"
2447,Fareed Zakaria,The Future of Freedom: Illiberal Democracy at Home and Abroad
2494,H.G. Wells,The Time Machine
2498,John Swartzwelder,The Time Machine Did It
2517,Orhan Pamuk,My Name Is Red
2520,Henri J.M. Nouwen,In the Name of Jesus: Reflections on Christian Leadership
2521,Timothy B. Tyson,Blood Done Sign My Name: A True Story
2526,Jose Saramago,Blindness
2528,Jose Saramago,All the Names
2529,Jose Saramago,The Tale of the Unknown Island
2530,Jose Saramago,Baltasar and Blimunda
2531,Jose Saramago,The Cave
2536,Jose Saramago,The Year of the Death of Ricardo Reis
2544,Kahlil Gibran,The Madman
2547,Kahlil Gibran,The Prophet
2552,Jack Kerouac,On the Road
2574,Chris Anderson,The Long Tail: Why the Future of Business is Selling Less of More
2581,David Allen,Ready for Anything: 52 Productivity Principles for Getting Things Done
2612,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference
2615,Clayton M. Christensen,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business
2623,Charles Dickens,Great Expectations
2666,Tom Wolfe,The Bonfire of the Vanities
2671,Tom Wolfe,The Painted Word
2674,David Chilton,The Wealthy Barber: The Common Sense Guide to Successful Financial Planning
2677,Jonathan Swift,A Modest Proposal and Other Satirical Works
2678,Jonathan Swift,Gulliver's Travels and ''A Modest Proposal''
2701,Geoffrey Chaucer,The Canterbury Tales
2711,Geoffrey Chaucer,The Riverside Chaucer
2715,Mark Kurlansky,Salt: A World History
2719,Monique Truong,The Book of Salt
2723,Kim Stanley Robinson,The Years of Rice and Salt
2725,Walter Benjamin,Illuminations: Essays and Reflections
2739,James C. Dobson,Bringing Up Boys: Practical Advice and Encouragement for Those Shaping the Next Generation of Men
2743,Dave Pelzer,The Lost Boy
2744,Neil Gaiman,Anansi Boys
2745,William Pollack,Real Boys: Rescuing Our Sons from the Myths of Boyhood
2748,Douglas Coupland,Microserfs
2761,Ernest Becker,The Denial of Death
2767,Howard Zinn,A People's History of the United States: 1492 - Present
2784,John Berger,Ways of Seeing
2802,David Bodanis,E=mc2: A Biography of the World's Most Famous Equation
2811,Madeleine L'Engle,A House Like a Lotus
2816,Madeleine L'Engle,A Severed Wasp
2819,Madeleine L'Engle,A Circle of Quiet
2823,Friedrich Nietzsche,The Birth of Tragedy
2836,Katherine Paterson,Bridge to Terabithia
2847,Katherine Paterson,"Bread and Roses, Too"
2871,Tracy Chevalier,Burning Bright
2872,Tracy Chevalier,Falling Angels
2873,Tracy Chevalier,The Virgin Blue
2879,Tite Kubo,"Bleach, Volume 15"
2880,Tite Kubo,"Bleach, Vol. 1"
2881,Tite Kubo,"Bleach, Volume 14"
2882,Tite Kubo,"Bleach, Volume 11"
2883,Tite Kubo,"Bleach, Volume 12"
2913,Gary Paulsen,Brian's Hunt
2915,Gary Paulsen,The River
2923,Gary Paulsen,Winterdance: The Fine Madness of Running the Iditarod
2930,Gary Paulsen,My Life in Dog Years
2932,Daniel Defoe,Robinson Crusoe
2959,Mark Twain,Adventures of Huckleberry Finn
2968,Mark Twain,The Complete Short Stories of Mark Twain
2969,Mark Twain,"The Bible According to Mark Twain: Irreverent Writings on Eden, Heaven, and the Flood by America's Master Satirist"
2978,James Hilton,Lost Horizon
2997,Nancy Friday,My Secret Garden: Women's Sexual Fantasies
3023,Thomas Sowell,Basic Economics: A Citizen's Guide to the Economy
3028,Henry Hazlitt,Economics in One Lesson
3040,Thomas Sowell,Black Rednecks and White Liberals
3044,Thomas Sowell,The Vision of the Anointed: Self-Congratulation as a Basis for Social Policy
3047,Thomas Sowell,A Conflict of Visions: Ideological Origins of Political Struggles
3049,Unknown,Sir Gawain and the Green Knight
3059,Alcoholics Anonymous,Twelve Steps and Twelve Traditions
3066,Bernard Malamud,The Fixer
3077,Elizabeth von Arnim,The Enchanted April
3087,E.M. Forster,A Room with a View
3088,E.M. Forster,A Room with a View and Howards End
3101,E.M. Forster,The Longest Journey
3102,E.M. Forster,Howards End
3107,Robert Hellenga,The Sixteen Pleasures
3110,Sarah Vowell,Assassination Vacation
3113,Gordon S. Wood,Revolutionary Characters: What Made the Founders Different
3140,Ivo Andric,The Bridge on the Drina
3254,Euripides,The Trojan Women
3291,Isabel Allende,The Stories of Eva Luna
3300,Isabel Allende,Ines of My Soul
3304,Isabel Allende,City of the Beasts
3342,Mark Kurlansky,The Big Oyster: History on the Half Shell
3345,Mark Kurlansky,1968: The Year that Rocked the World
3347,Mark Kurlansky,The Basque History of the World
3359,Wallace Stegner,Angle of Repose
3368,Steve Krug,Don't Make Me Think: A Common Sense Approach to Web Usability
3378,Douglas Coupland,Generation X: Tales for an Accelerated Culture
3379,Douglas Coupland,All Families are Psychotic
3381,Douglas Coupland,Hey Nostradamus!
3382,Douglas Coupland,Polaroids from the Dead: And Other Short Stories Razor-Sharp Examinations of Modern Life and Celebrity Culture in the Age of Technology
3384,Douglas Coupland,Girlfriend in a Coma
3388,Louis de Bernieres,Corelli's Mandolin
3394,Louis de Bernieres,The War of Don Emmanuel's Nether Parts
3399,Louis de Bernieres,Birds Without Wings
3408,Beverly Cleary,Otis Spofford
3413,Colleen McCullough,The Thorn Birds
3416,Colleen McCullough,Caesar
3417,Colleen McCullough,Caesar's Women
3420,Colleen McCullough,Morgan's Run
3421,Colleen McCullough,The October Horse
3424,Colleen McCullough,The Grass Crown
3431,Mitch Albom,The Five People You Meet in Heaven
3437,Mark Haddon,The Curious Incident of the Dog in the Night-Time
3445,Tim O'Brien,"If I Die in a Combat Zone, Box Me Up and Ship Me Home"
3446,Tim O'Brien,Going After Cacciato
3447,Tim O'Brien,In the Lake of the Woods
3462,Nicholas Sparks,The Rescue
3463,Nicholas Sparks,A Bend in the Road
3464,Nicholas Sparks,True Believer
3465,Nicholas Sparks,Three Weeks with My Brother
3467,Jeanne DuPrau,The People of Sparks
3469,Nicholas Sparks,Nights in Rodanthe
3476,Gwyn Hyman Rubio,Icy Sparks
3478,Nicholas Sparks,Message in a Bottle
3483,Marisha Pessl,Special Topics in Calamity Physics
3507,Janet Evanovich,Twelve Sharp
3526,Ian McEwan,"First Love, Last Rites"
3532,Ivan Turgenev,First Love
3559,Thomas L. Friedman,From Beirut to Jerusalem
3562,L.M. Montgomery,Emily of New Moon
3570,L.M. Montgomery,Akin to Anne: Tales of Other Orphans
3577,L.M. Montgomery,A Tangled Web
3579,L.M. Montgomery,The Complete Anne of Green Gables
3580,L.M. Montgomery,Pat of Silver Bush
3581,Arthur Conan Doyle,"Sherlock Holmes: The Complete Novels and Stories, Volume I"
3586,Arthur Conan Doyle,The Complete Sherlock Holmes: Volume II
3588,Arthur Conan Doyle,The Adventures of Sherlock Holmes
3630,Clare Naylor,The First Assistant
3635,Bruce H. Wilkinson,The Dream Giver
3636,Lois Lowry,The Giver
3637,Anzia Yezierska,Bread Givers
3638,Bill Brittain,The Wish Giver
3648,Claire Messud,The Emperor's Children
3649,Claire Messud,The Last Life
3656,John Banville,The Sea
3659,John Banville,The Book of Evidence
3677,E.M. Forster,Where Angels Fear to Tread
3682,Libba Bray,A Great and Terrible Beauty
3685,Anna Sewell,Black Beauty
3686,Ann Patchett,Truth & Beauty
3688,Graham Greene,Complete Short Stories
3690,Graham Greene,The Power and the Glory
3692,Graham Greene,The Heart of the Matter
3693,Graham Greene,Orient Express
3705,Graham Greene,The Third Man and The Fallen Idol
3707,Graham Greene,The Tenth Man
3710,Zadie Smith,The Autograph Man
3711,Zadie Smith,White Teeth
3717,Chuck Palahniuk,Stranger than Fiction
3742,Louise Fitzhugh,The Long Secret
3750,Ian Fleming,Moonraker
3757,Ian Fleming,Doctor No
3758,Ian Fleming,Casino Royale
3759,Ian Fleming,Goldfinger
3760,Ian Fleming,Diamonds Are Forever
3761,Ian Fleming,You Only Live Twice
3762,Ian Fleming,On Her Majesty's Secret Service
3763,Ian Fleming,Live and Let Die
3764,Ian Fleming,From Russia with Love
3765,Ian Fleming,Octopussy and the Living Daylights
3769,Jack Kerouac,The Dharma Bums
3782,Noel Streatfeild,Theater Shoes
3783,Noel Streatfeild,Dancing Shoes
3802,Rumer Godden,The Story of Holly & Ivy
3805,Jonathan Franzen,The Corrections
3815,P.D. James,Original Sin
3825,P.D. James,Death in Holy Orders
3826,P.D. James,The Lighthouse
3827,P.D. James,Unnatural Causes
3828,P.D. James,Death of an Expert Witness
3830,P.D. James,A Taste for Death
3832,P.D. James,Cover Her Face
3833,P.D. James,The Black Tower
3834,P.D. James,Innocent Blood
3836,Miguel de Cervantes Saavedra,Don Quixote
3853,Ruth Prawer Jhabvala,Heat and Dust
3858,Sarah Macdonald,Holy Cow: An Indian Adventure
3871,Thomas E. Woods Jr.,The Politically Incorrect Guide to American History
3872,Tom Standage,A History of the World in 6 Glasses
3873,Karen Armstrong,"A History of God: The 4000-Year Quest of Judaism, Christianity and Islam"
3876,Ernest Hemingway,The Sun Also Rises
3882,Rachael Ray,Rachael Ray 365: No RepeatsA Year of Deliciously Different Dinners
3888,America's Test Kitchen,The America's Test Kitchen Family Cookbook
3895,Ina Garten,The Barefoot Contessa Cookbook
3921,Laura Dave,London is the Best City in America
3972,Dan Simmons,Olympos
3973,Dan Simmons,Ilium
3974,Dan Simmons,The Terror
3975,Dan Simmons,Worlds Enough & Time: Five Tales of Speculative Fiction
3977,Dan Simmons,Endymion
3978,Dan Simmons,A Winter Haunting
3979,Dan Simmons,Song of Kali
3985,Michael Chabon,The Amazing Adventures of Kavalier & Clay
3986,Michael Chabon,The Amazing Adventures of the Escapist
4004,Paulo Coelho,The Pilgrimage
4005,Paulo Coelho,The Fifth Mountain
4006,Paulo Coelho,The Valkyries
4009,J.D. Salinger,Nine Stories
4031,Bret Easton Ellis,Lunar Park
4035,Scott Turow,The Burden of Proof
4042,Ann Coulter,Godless: The Church of Liberalism
4043,Pete Hautman,Godless
4055,Thomas Moore,Soul Mates: Honoring the Mysteries of Love and Relationship
4069,Viktor E. Frankl,Man's Search for Meaning
4075,Eric R. Kandel,In Search of Memory: The Emergence of a New Science of Mind
4076,Thomas J. Peters,In Search of Excellence: Lessons from America's Best-Run Companies
4099,Andy Hunt,The Pragmatic Programmer: From Journeyman to Master
4104,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking
4114,Jim Collins,Good to Great and the Social Sectors: A Monograph to Accompany Good to Great
4117,Roderick Townley,The Great Good Thing
4122,Jim Collins,Built to Last: Successful Habits of Visionary Companies
4135,Amy Sedaris,I Like You: Hospitality Under the Influence
4138,David Sedaris,Naked
4140,David Sedaris,Children Playing Before a Statue of Hercules
4142,Amy Sedaris,The Book of Liz
4143,David Sedaris,Barrel Fever: Stories and Essays
4191,James Ellroy,The Cold Six Thousand
4219,Dan Brown,Digital Fortress
4256,J.K. Rowling,Harry Potter and the Prisoner of Azkaban
4259,Nick Hornby,Housekeeping vs. the Dirt
4260,Nick Hornby,The Polysyllabic Spree
4261,Nick Hornby,Songbook
4262,Nick Hornby,High Fidelity
4264,Nick Hornby,Fever Pitch
4266,Nick Hornby,31 Songs
4271,Nick Hornby,About a Boy
4278,Ruth Downie,Medicus
4325,Sarah Dessen,Dreamland
4337,Aidan Hartley,"The Zanzibar Chest: A Story of Life, Love, and Death in Foreign Lands"
4338,Anderson Cooper,"Dispatches from the Edge: A Memoir of War, Disasters, and Survival"
4339,Michael Herr,Dispatches
4341,Bentley Little,Dispatch
4346,The Onion,Dispatches from the Tenth Circle: The Best of the Onion
4364,Suketu Mehta,Maximum City: Bombay Lost and Found
4370,Andrew X. Pham,Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam
4372,Chanrithy Him,When Broken Glass Floats: Growing Up Under the Khmer Rouge
4373,Loung Ung,First They Killed My Father: A Daughter of Cambodia Remembers
4392,Gabriel Garcia Marquez,Living to Tell the Tale
4404,Neil Gaiman,American Gods
4405,Jon Meacham,"American Gospel: God, the Founding Fathers, and the Making of a Nation"
4408,John Steinbeck,East of Eden
4422,John Kennedy Toole,A Confederacy of Dunces
4424,Robert Dallek,"An Unfinished Life: John F. Kennedy, 1917-1963"
4433,Augusten Burroughs,Possible Side Effects
4435,Augusten Burroughs,Dry
4451,M. Scott Peck,People of the Lie: The Hope for Healing Human Evil
4472,John Irving,A Prayer for Owen Meany
4477,Atul Gawande,Complications: A Surgeon's Notes on an Imperfect Science
4486,Helen Fielding,Bridget Jones's Diary
4507,Julie Gregory,Sickened: The Memoir of a Munchausen by Proxy Childhood
4519,Ruby K. Payne,A Framework for Understanding Poverty
4529,Helen Fielding,Cause Celeb
4530,Helen Fielding,Olivia Joules and the Overactive Imagination
4537,E.L. Konigsburg,The Second Mrs. Gioconda
